,Bintang,Pengguna,Komen,Tanggal
1058,Rated 5 stars out of five stars,Vera Nathalia,"Aplikasi jenius yang membantu manusia Jakarta utk belanja buah, sayuran dan bahan pangan berkualitas lain.","March 27, 2019"
1059,Rated 4 stars out of five stars,Delissa Chandra,"minus : 1. beberapa kali susahhh sekali unt membuka halamannya..klik sayur atau buah dll cuma loading2 aja.. 2. pembayaran menggunakan gopay bila saldo tidak cukup otomatis tidak dapat melakukan pembayaran,seharusnya muncul lg link unt coba kembali atau pilihan unt melakukan pembayaran dengan metode...
Full Review","April 1, 2019"
1060,Rated 5 stars out of five stars,Gracia Hutapea,"Pengirimannya tepat waktu, buahnya bagus, aplikasinya juga bagus. Semoga usaha petani dan developer app nya sukses","March 30, 2019"
1061,Rated 4 stars out of five stars,Siti Aisah,desainnya bagus hanya saja loading lama dan kdg fail,"June 28, 2019"
1062,Rated 5 stars out of five stars,Selvi Kurniawan,sudah berkali kali order sayur dan buah di sayurbox.. hasilnya memuaskan :) buah dan sayurnya segar2 ga boong.. dan yang penting bebas pestisida dan kita turut membantu petani lokal,"April 9, 2019"
1063,Rated 2 stars out of five stars,Zahri Anshori,"Tolong di review kebijakan nya, saya mau beli saja dibatasi pack nya, padahal tidak masalah dikenai harga normal... Malah disarankan beli buah lain... Lagi becanda Cs nya...","April 14, 2019"
1064,Rated 2 stars out of five stars,Atika Juliana,"Pengirimannya lambat, selalu melewati ekspetasi jam deliver nya dan kita ga tau posisi pengirimnya udah dimana.. cs kurang membantu..","April 14, 2019"
1065,Rated 5 stars out of five stars,Eno Retno Febrianti,seneng bgt belanja di sayurbox . bnyk diskon n promo. dan hadiahnya nih. cuuzzzz laaah repeat order lagi. seger2 n dr petani lokal.,"May 4, 2019"
1066,Rated 5 stars out of five stars,Rike Lioni,"Harga dan kualitas produknya bagus, pengirimannya juga sesuai dengan request, banyak diskonnya juga, terimakasih Sayurbox sudah exist 😍","April 5, 2019"
1067,Rated 3 stars out of five stars,Artha Aruan,"mohon di cek kembali dgn klaim organik yang sayurbox cantumkan. berikan bukti jika mmg organik karena orderan saya utk produk organik tapi ternyata dalam kondisi rusak. Apalagi ada beberapa ulat di dalam sayurannya.. kalo trnyata kualitasnya sama aja seperti beli di pasar tradisional ngapain beli di...
Full Review","April 12, 2019"
1068,Rated 5 stars out of five stars,Baby You! Lagu & Cerita Anak,"Selalu memuaskan pesan buah dan produk via sayur box. produk, kemasan dan pengiriman terbaik..gud job","April 7, 2019"
1069,Rated 5 stars out of five stars,Beautiful Trifosa,selalu puas beli buah dan sayur di sayurbox. thank you,"April 26, 2019"
1070,Rated 5 stars out of five stars,stewart imanuel,sayangnya blm bisa instant kirim dihari yg sama.,"April 10, 2019"
1071,Rated 5 stars out of five stars,Fransisca Arini,"praktis, gak perlu ke pasar, produk berkualitas & sering promo","April 10, 2019"
1072,Rated 1 stars out of five stars,Novel Matindas,"Belum menjangkau Kecamatan Cisauk, Tangerang.","April 11, 2019"
1073,Rated 5 stars out of five stars,Nur Syabaniawati,cepet bgt pengiriman nya tepat waktu dan buahnya bener bener fresh !,"May 13, 2019"
1074,Rated 5 stars out of five stars,juliana G,sayur dan buahnya segar,"April 3, 2019"
1075,Rated 5 stars out of five stars,Carolina Dewi,updatenya uda ok nih.,"April 21, 2019"
1076,Rated 3 stars out of five stars,Sachiko Takeda,lemot bgt apps nya,"March 31, 2019"
1077,Rated 5 stars out of five stars,LaiLina Lina,"sayuran segar, respon bagus","April 29, 2019"
1078,Rated 5 stars out of five stars,Stepfairy Lin,"app nya friendly user, buah sayur nya fresh.. pilihan nya banyakk","April 2, 2019"
1079,Rated 5 stars out of five stars,Ira Indriani,nungguin diskonnya teroosss,"March 30, 2019"
1080,Rated 5 stars out of five stars,rini kurniawati,"segar, cepat, terpercaya","May 19, 2019"
1081,Rated 1 stars out of five stars,Bunga Dewi Anggraeni,bagi duit doing... app nya sering not responsif,"April 25, 2019"
1082,Rated 5 stars out of five stars,Jeassyca Ngaditeja,helpfull banget dengan adanya aplikasi sayur box,"April 21, 2019"
1083,Rated 4 stars out of five stars,Naomi Suryabudhi,praktis!!,"March 24, 2019"
1084,Rated 5 stars out of five stars,Tiara Sari,"selalu memuaskan belanja di sini, semua fresh. Recomended👍👍👍👍👍","June 1, 2019"
1085,Rated 5 stars out of five stars,meti mea,simple and gampang.. sayuran and buahnya segar2,"May 5, 2019"
1086,Rated 5 stars out of five stars,Wulandari Soedibjo,super oke,"April 27, 2019"
1087,Rated 4 stars out of five stars,Afrida Nuryanti,pengiriman cepat,"April 20, 2019"
1088,Rated 5 stars out of five stars,dili,syukakkk.. 💞💞,"April 23, 2019"
1089,Rated 5 stars out of five stars,Nanda Amelia,mantul,"May 6, 2019"
1090,Rated 5 stars out of five stars,Nur Asiah,ok,"May 4, 2019"
1091,Rated 4 stars out of five stars,Monic moenmoen,cepet,"April 16, 2019"
1092,Rated 5 stars out of five stars,Aulia Hidayati,mantul,"May 4, 2019"
1093,Rated 5 stars out of five stars,Karuniawan Yuko Perwira Putra,jos,"April 15, 2019"
1094,Rated 5 stars out of five stars,Rahma Lina,Selamat,"June 23, 2019"
1095,Rated 5 stars out of five stars,Santhi T,good app,"March 25, 2019"
1096,Rated 5 stars out of five stars,Maya Arlini,very good,"May 6, 2019"
1097,Rated 1 stars out of five stars,Noe,bad,"May 4, 2019"
1098,Rated 5 stars out of five stars,MAE SEPTIA,useful,"April 11, 2019"
1099,Rated 5 stars out of five stars,Fadila Maula Hafsah,helpful,"May 6, 2019"
1100,Rated 5 stars out of five stars,Dewi Indah Ayu D.,Top,"March 31, 2019"
1101,Rated 5 stars out of five stars,Dina Camelia,good,"May 1, 2019"
1102,Rated 5 stars out of five stars,Lully Prasetyani,Nice,"April 1, 2019"
1103,Rated 5 stars out of five stars,Andiga Dompak B Tarihoran,great,"April 5, 2019"
1104,Rated 5 stars out of five stars,Maysellina Hardiyani,good,"March 30, 2019"
1105,Rated 5 stars out of five stars,sigit gunawan,Good,"April 23, 2019"
1106,Rated 5 stars out of five stars,Editha Banjarnahor,awesome,"April 11, 2019"
1107,Rated 3 stars out of five stars,skar galuh,"Produknya sejauh ini memuaskan. Cuma terkadang deliverynya kebagian paling akhir, jadi pernah buah ada yg terlalu matang dijalan karena kepanasan. Mohon kedepannya dikasih sistem tracking kurir, biar konsumen bisa perhitungkan waktu untuk kegiatan lain ga cuma menunggu paket datang. Apalagi kalo ter...
Full Review","March 8, 2019"
1108,Rated 1 stars out of five stars,Sherly Katherine,"pertama kali belanja tp sudah kecewa. saya beli produk bernama 'mix berry' dengan harga 98rb (harga promo bahkan😔, harga aslinya lebih mahal), tetapi isinya sangat ga sebanding. masa isi blackberry cuma 2 butir dari 1 kotak. isi raspberry dan blueberry cuma 5 butir. sementara isi strawberry 12 buti...
Full Review","March 22, 2019"
1109,Rated 5 stars out of five stars,Savira,"seneng banget sejak install sayurbox jd sering beli buah (pdhl sblmnya males) dan gratis ongkir pula, udh gitu bisa bayar otomatis via jenius 😆 terimakasih sayurbox 😊","March 10, 2019"
1110,Rated 5 stars out of five stars,hafidh arifianto,"Saya sudah berkali-kali belanja produk buah lokal via sayur box ini.. praktis, barangnya bagus2, segar, dan pengiriman tepat waktu..semoga layanan ini bisa berkembang ke kota-kota lainnya di Indonesia untuk lebih memberdayakan petani lokal dan memudahkan konsumen..","March 9, 2019"
1111,Rated 1 stars out of five stars,novee manov,pertama kali transaksi sudah kecewa. pembayaran saya dianggap blm masuk dan pesanan tercancel. harus kirim bukti transfer lagi via email. padahal sblmnya sdh kirim reply sms dan chat di apps. setelah uang saya balik sy bakal uninstall sayurbox. mending beli di tukang sayur langganan,"March 2, 2019"
1112,Rated 5 stars out of five stars,shinta lestarini,belanja sayur dan buah kini ga pake repot lagi. seneng banget belanja di sayurbox. buah dan sayurnya fresh dr petani. suka dikasih free item lagi.. udah gitu kalo belanja minimal 100rb dpt free ongkir.. thanks sayurbox,"March 25, 2019"
1113,Rated 2 stars out of five stars,dina maharanie,"Sering beli disini tp di kecewain lagi, yg kemarenan alpukat itu ada yg jelek bbrp tp saya masih pahami. Saya gak mau komentar gimana2. Eh td paket yg datang itu pisangnya masih mentah sampe anak saya muntahin krn rasanya tdk enak! Tdk seperti minggu lalu yg saya pesan! Ini gmn sih?! Kecewa bgt saya...
Full Review","March 24, 2019"
1114,Rated 3 stars out of five stars,cindy fransisca,"maaf saya uninstall dulu sampai appnya ada perbaikan, karena loadingnya ga selesai2 jd ga bs belanja sama sekali.","March 15, 2019"
1115,Rated 5 stars out of five stars,A Google user,sayurbox sangat membantu banget buat yg ga sempet berbelanja keluar. buah dan sayurnya pun mostly oke meskipun ada sekali dpt 2 avocado yg agak busuk tp overall puas belanja d sayur box,"March 25, 2019"
1116,Rated 1 stars out of five stars,rina Rina,setiap x buka loading trs lama. uda gt mau klik promonya malah masuknya ke informasi yg ga diinginkan. pdhl uds di update. dr dl smpr skrg jelek bgt appsnya.,"April 4, 2019"
1117,Rated 5 stars out of five stars,dian pertiwi,Sudah melakukan transaksi beberapa kali via app.. Buah dan Sayur segar-segar dan sering dapat harga lebih murah dibanding beli di supermarket. Praktis untuk ibu ibu yang jarang keluar rumah 🙂,"March 25, 2019"
1118,Rated 5 stars out of five stars,rini kosasih,"sy sdh lama berlangganan di sini. rasanya aman krn jelas dicantumkan, mana yg organic, mana yg bukan. pengiriman selalu tepat waktu, dan jarang sekali kecewa. akan terus belanja di sini","March 25, 2019"
1119,Rated 5 stars out of five stars,A Google user,sayurannya bagussss... dan qt nggak perlu capek2 ke pasar dan satu lagi.. bisa pake gopayyyyy....,"March 8, 2019"
1120,Rated 5 stars out of five stars,Nona Ing,"senang banget belanja sayur dan buah di sayurbox. jadi lebih mudah soalnya, ga perlu ribet2 keluar rumah tinggal klik panen, bayar dan sampai deh 😍😍😍","March 25, 2019"
1121,Rated 5 stars out of five stars,Adine Cahyaning,"saya sudah lbh dr 1x berbelanja di sayurbox. mudah banget blanja pake app ini. tinggal klik yg sy butuhkan, atur kapan pengantaran, transfer, sayur dan buah segar datang di rmh tepat waktu sesuai kesepakatan. buah dan sayurnya msh segar sampe ke tanganku. puas bgt blanja di sayurbox. trima kasih say...
Full Review","March 26, 2019"
1122,Rated 1 stars out of five stars,hyprist tv,"aplikasinya lemot banget! apalagi kalo dibuka dari notif, pas diklik yg kebuka lain. trus kalo bisa foto yg jelas. penjelasannya juga yg lebih jelas lagi.","March 10, 2019"
1123,Rated 5 stars out of five stars,rihlah noviyanti,"Membantu bgt buat yg gk sempet ke pasar beli buah dan sayur langsung. Kondisi nuah dan sayur jugaa baguss dan berkualitas banget, seger.","April 2, 2019"
1124,Rated 2 stars out of five stars,Yohana Gultom,"ada push notif terus buka, tapi lelet banget apps nya, pernah cobain nunggu sampai lebih 30 detik. bye. langsung ditinggalin appsnya.","March 14, 2019"
1125,Rated 5 stars out of five stars,Yuneska Yuneska,aplikasi beli sayuran ku setiap minggu. dan service nya selalu memuaskan.. appsny jg easy to use dan lgs berhasil..mantap deh,"March 28, 2019"
1126,Rated 4 stars out of five stars,Vonny Liong,baru menggunakan app sayurbox ini. promo yang diikuti waktu itu kurang jelas syarat ketentuannya. mudah2an next time akan lebih baik.,"March 25, 2019"
1127,Rated 5 stars out of five stars,A Google user,"SUKAAAKK!! berguna bgt buat emak2 yg waktu nya terbatas ples ga bakat milih buah, macam ak ini 😆","March 28, 2019"
1128,Rated 5 stars out of five stars,Dian Rachmawati,"Belanja buah dan sayur tanpa repot, produknya pilihan, bagus2 dan segar2.. alhamdulillah beberapa kali dapat voucher dan promo.. pelayanannya memuaskan.. sukses Sayurbox","April 2, 2019"
1129,Rated 5 stars out of five stars,Febriyana Fadhillah,Sayurbox membantu sekali untuk belanja produk segar dan juga membantu petani lokal kita karena produknya lgsg dr petani. Awesome!,"April 1, 2019"
1130,Rated 5 stars out of five stars,Christini R.A Lubis,"Terjamin bgt belanja disini. Baik dari segi pengiriman, pengemasan, harga, dan yg paling penting kualitasnya. Akan sering belanja disini deh pokoknya.","March 25, 2019"
1131,Rated 5 stars out of five stars,Desmayeni Agus,pengantaran tepat waktu...hanya timun sj yg sedikit kurang segar..overall OK,"March 19, 2019"
1132,Rated 5 stars out of five stars,Shinta Sasmita,"Saya sangat terbantu dengan aplikasi ini. Praktis, user friendly, dan tidak pernah kecewa dengan sayur dan buah yang diantarkan.","March 25, 2019"
1133,Rated 5 stars out of five stars,A Google user,kualitas produk sayur dan buah memuaskan dan harga bersahabat,"March 5, 2019"
1134,Rated 5 stars out of five stars,Cindy Dea Indriasvary,"sudah beberapa kali kami repeat order, buah2nya selalu segar, tidak mengecewakan, delivery ordernya sudah sesuai..","March 25, 2019"
1135,Rated 5 stars out of five stars,Patricia Oktaviana Tirta,"Sangat mempermudah utk mendapatkan sayuran dan buah segar, banyak promosi, serta pengiriman yang cepat.","March 25, 2019"
1136,Rated 5 stars out of five stars,Mestikarini Astari,"pertama kali order, sayurnya segar2 , memudahkan orang yang tidak sempat berbelanja. makasih","March 20, 2019"
1137,Rated 5 stars out of five stars,Teja Komara,"produk dan layanan sudah ok, ditambah kmudahan pembayaran. pertahankan terus dan perbanyak promo.","April 1, 2019"
1138,Rated 4 stars out of five stars,123 ABC,semoga kedepannya fitur chat tidak di closed otomatis sebelum berakhirnya percakapan.,"March 9, 2019"
1139,Rated 1 stars out of five stars,Andi lie,Promo buah malah Refund hanya pemanis saja kalau begitu,"March 6, 2019"
1140,Rated 5 stars out of five stars,khoirun nisa fitri,"selalu puas belanja disini, terimksh sayurbox. sukses terus...","March 5, 2019"
1141,Rated 5 stars out of five stars,Amira Anggun Farras,"aplikasi yang sangat membantu, hanyak saja terkadang loadingnya lama sekali.","March 7, 2019"
1142,Rated 5 stars out of five stars,Djong Bee khiun,apps gampang dipakai dan berbelanja sayur dan buah dll jadi menyenangkan. ok,"March 25, 2019"
1143,Rated 5 stars out of five stars,Sandra D Rachmarani,"Aplikasinya sangat user friendly, dan kualitas produk yg ditawarkan selalu sesuai ekspektasi","March 31, 2019"
1144,Rated 1 stars out of five stars,cute cat,loadingnya lama bgt.bahkan g bisa nampil atau loading terus,"April 1, 2019"
1145,Rated 5 stars out of five stars,Arfiyah Citra Eka Dewi,Seneng bgt. App nya user friendly,"March 5, 2019"
1146,Rated 5 stars out of five stars,Bernadeth Huang,harganya ok sayur nya fresh untuk ibu yang bekerja jadi lbh praktis,"March 30, 2019"
1147,Rated 1 stars out of five stars,Riky Dirly,mahal2... lebih murah tanihub atau blanja lgsg di hypermarket,"March 17, 2019"
1148,Rated 5 stars out of five stars,tan yusuph,belanja sayur dan buah dengan mudah,"March 25, 2019"
1149,Rated 5 stars out of five stars,Denny,Mudah digunakan dan harga masih kompetitif,"March 25, 2019"
1150,Rated 5 stars out of five stars,Dithi Sofia,"harga terjangkau, kualitas buah OK, pelayananannya bagus","April 10, 2019"
1151,Rated 2 stars out of five stars,RESIANA SILAEN,mau buka menu lama bgtttttttt loading 😡😡😡😡😡,"March 6, 2019"
1152,Rated 5 stars out of five stars,Sten Ivan,Sangat user friendly dan banyak promo di aplikasi! Maju terus Sayurbox!,"March 26, 2019"
1153,Rated 5 stars out of five stars,Dewi Tantra,kondisi sayur baik. harga bersaing,"March 22, 2019"
1154,Rated 5 stars out of five stars,elmi suyatni,"respon cepat , pengiriman sesuai janji","March 8, 2019"
1155,Rated 4 stars out of five stars,Ida Siadari,buahnya bagus2 dan murah,"March 15, 2019"
1156,Rated 5 stars out of five stars,MutiaFit By Mutia Farida,"buah2 segar.. promo menarik, free ongkir.. puas","March 16, 2019"
1157,Rated 5 stars out of five stars,Rizqi Nurhayati,sangat membantu,"March 26, 2019"
1158,Rated 5 stars out of five stars,agstried piether,sangat membantuu,"March 26, 2019"
1159,Rated 5 stars out of five stars,Miky Nurhariadi,nice app!,"March 11, 2019"
1160,Rated 5 stars out of five stars,Ida Mahdaniar,great sayurbox,"March 3, 2019"
1161,Rated 5 stars out of five stars,Mario Simamora,Good application,"March 9, 2019"
1162,Rated 5 stars out of five stars,A Google user,great apps,"March 2, 2019"
1163,Rated 5 stars out of five stars,Ardila Hasni,good app,"March 4, 2019"
1164,Rated 5 stars out of five stars,Suryana Pratiwi,puasssss,"March 26, 2019"
1165,Rated 5 stars out of five stars,Boby Xiaomi,Mantappp,"March 18, 2019"
1166,Rated 5 stars out of five stars,Tio Nugroho,very useful.,"March 24, 2019"
1167,Rated 5 stars out of five stars,Farah Nuriza,great!,"April 7, 2019"
1168,Rated 5 stars out of five stars,Angelia Chan,excelent service,"March 25, 2019"
1169,Rated 5 stars out of five stars,FITRI Prihatin,so helpful,"March 9, 2019"
1170,Rated 5 stars out of five stars,f. nugroho,good application,"April 3, 2019"
1171,Rated 5 stars out of five stars,Indah Renita,highly reccomended,"March 25, 2019"
1172,Rated 5 stars out of five stars,Aliyah Zahira,good apps,"March 24, 2019"
1173,Rated 5 stars out of five stars,Echa Wahab,helpfull application,"March 25, 2019"
1174,Rated 5 stars out of five stars,A Google user,nice,"March 20, 2019"
1175,Rated 5 stars out of five stars,A Google user,good,"March 2, 2019"
1176,Rated 5 stars out of five stars,A Google user,helpful,"March 5, 2019"
1177,Rated 5 stars out of five stars,A Google user,👍🏻,"March 16, 2019"
1178,Rated 5 stars out of five stars,Mila A,goood,"March 22, 2019"
1179,Rated 5 stars out of five stars,A Google user,good,"March 4, 2019"
1180,Rated 5 stars out of five stars,Razak Sitorus,good,"April 8, 2019"
1181,Rated 5 stars out of five stars,Tenny Yutenita,Good,"March 26, 2019"
1182,Rated 5 stars out of five stars,Karinina L R,helpful,"March 25, 2019"
1183,Rated 5 stars out of five stars,Decy Junita,nice,"March 10, 2019"
1184,Rated 5 stars out of five stars,Ayu Ariestya Rahayu,excellent,"March 27, 2019"
1185,Rated 5 stars out of five stars,Lisa Nh,love it,"March 16, 2019"
1186,Rated 5 stars out of five stars,A Google user,good,"March 9, 2019"
1187,Rated 5 stars out of five stars,Taruna Daswani,Good,"March 13, 2019"
1188,Rated 4 stars out of five stars,dita aprilia,"lebih baik lagi kalau disetiap makanan/minumannya ditambahkan berapa sih kandungan vitaminnya, atau berapa kandungan calories nya. jadi user bisa nih nentuin sesuai kebutuhannya dia. kan campaign nya sayurbox supaya user2 nya hidup lebih sehat dan mengurangi konsumsi calories berlebih kan :) tapi si...
Full Review","February 9, 2019"
1189,Rated 5 stars out of five stars,Lindi Anindita,buah dan makanan siap konsumsinya okee punyaa dan harganya jugaa pas banget sangat kompetitif. udah gitu sekarang mobile app nya makin oke karena alamat pengiriman udah bisa di simpen (update ke versi terbaru yaa..) dan sering ada promo jugaa.,"February 7, 2019"
1190,Rated 5 stars out of five stars,dirgha ahdiansyah,"memudahkan istri yg tidak suka keluar rumah tapi butuh keperluan dapur dn utk bahan makanan si kecil. ada baiknya ada paket resep atau info2 resep, biar masakan istri semakin beragam dn belanja lbh byk lagii.","February 24, 2019"
1191,Rated 5 stars out of five stars,amelia zulfah Frizcilla,"thanks sayurbox, sudah menjadi solusi untuk kami yang gk punya waktu belanja ke pasar/supermarket, terimakasih sudah membuat semua jadi lebih praktis 😊","February 7, 2019"
1192,Rated 5 stars out of five stars,Indah Nur Aini,"Jadi sering beli buah dan sayur sejak ada Sayurbox. Usul, jenis buahnya ditambah.. masih ada beberapa yg belum ada spt kiwi dan plum. But overall OK.","March 26, 2019"
1193,Rated 5 stars out of five stars,nidya azetvica,sukak ❤ kaya yang selalu puwas gitu loh,"February 7, 2019"
1194,Rated 5 stars out of five stars,Septiana Nurma Wijayanti,Smoga semakin baik dalam memberikan layanan ke customer!,"February 9, 2019"
1195,Rated 3 stars out of five stars,widya trista putri,setiap ada promo loading selalu lama jd selalu tidak kebagian,"February 27, 2019"
1196,Rated 4 stars out of five stars,Vimalajatini Fitria,"ok, sudah bs berjalan normal","February 18, 2019"
1197,Rated 4 stars out of five stars,faisal +,sering loading ga ke buka,"May 15, 2019"
1198,Rated 1 stars out of five stars,Mochammad Furqon,loading terus...kurang bagus performance aplikasinya,"February 27, 2019"
1199,Rated 5 stars out of five stars,A Google user,Buah dan sayurnya seger2 bangeet. packagingnya okee. Love ittt!!! ❤❤,"February 8, 2019"
1200,Rated 5 stars out of five stars,asty dewi,Fresh from the farmers :),"February 7, 2019"
1201,Rated 4 stars out of five stars,irma erliana,good,"February 18, 2019"
1202,Rated 4 stars out of five stars,Fuad Hadi Ismail,good,"February 25, 2019"
1203,Rated 5 stars out of five stars,Little Tea,"Kalau memang sedang mendownload gambar, loading effect nya ambigu. Jadi bingung inis edang unduh gambar apa internetnya yg jelek. Tapi internet yg bagus pun si app nya cuma loading ngga munculi gambar apa2.","January 27, 2019"
1204,Rated 5 stars out of five stars,Syifaa Lathiifa,"sayurnya super duper seger. hijau hijau, bikin flashback waktu ikut kakek nenek serta sanak saudari manen sayur. freshnya sama. ngebantu saat maljal gitu deh (malas jalan). SAYURBOX the best. ku chyntha.","February 7, 2019"
1205,Rated 1 stars out of five stars,Cindy Patricia,"tolong diperhatikan kualitas setiap produk dan bahan makanan. pilih yg masih segar dan Layak konsumsi. perhatikan juga utk packaging saat pengiriman, dan sesuaikan dengan waktu yg sudah ditentukan pd aplikasi.","February 1, 2019"
1206,Rated 1 stars out of five stars,Deni Lukman,"Beli berkali2 dikasih sayur yang jelek2 bahkan busuk. Heran aja jualan tapi kok kaya gini seperti tidak peduli dengan customer, chat juga ga ada yg balas. Nyesel deh pake aplikasi ini.","January 29, 2019"
1207,Rated 2 stars out of five stars,Monik Looklife,"Tentang pembaharuan apps, sekarang jd lebih susah dipakai terutama untuk buka items per kategori. Lama sekali loadingnya. Saya jadi malas untuk berbelanja karena untuk loading saja sudah menghabiskan waktu. Mohon untuk diperbaiki dari sisi apps. thank you.","January 13, 2019"
1208,Rated 2 stars out of five stars,Elinda Joen,"Saya kecewa setelah sekian lama langganan di sayurbox, tadi pagi saya dpt SMS bahwa alamat saya belum dapat dijangkau. Padahal masih masuk kabupaten Bogor. Ya sudahlah. Memang terkesan aneh & lucu. Bye sayurbox. Terima kasih sudah memenuhi kebutuhan kulkas saya selama 4 bulan ini.","January 21, 2019"
1209,Rated 2 stars out of five stars,Marco Marciano,"Jumlah Total tidak terlihat. Ketika checkout, rincian harga, biaya pengiriman hingga total tidak terlihat di menu. Seolah-olah blank. Rincian harga nanti terlihat ketika menu pembayaran sudah di teken dan melalui email yang dikirimkan sistem. Saya kesulitan melihat estimasi biaya belanja dengan tota...
Full Review","January 23, 2019"
1210,Rated 5 stars out of five stars,teli IndRa,"sayurannya oke, fresh.. penggunaan aplikasi juga mudah ga ribet, namun untuk info penawaran ttg cashback atau promo msh kurang nih agar customer mudah menggunakannya. .","March 26, 2019"
1211,Rated 3 stars out of five stars,Andrea Karicyani,aplikasinya kenapa lama sekali ya? loading di dashboardnya sangat lama dan masuk ke kategori pilihannya juga lama. tolong agar di upgrade lagi sistemnya. karena saya suka sekali dgn aplikasinya. tp karena loadingnya yg sangat lama jadi gak bs dipake aplikasinya. thx,"January 25, 2019"
1212,Rated 2 stars out of five stars,Slf Slf,"Wah ngaco sih. pas checkout harga berubah. Penjumlahan ngaco banget. Banyak fungsi yang ngaco juga, seperti sudah set hari di fiturnya pas checkout berubah juga. Fitur chat kadang bisa kadang blank aja seperti tidak ada apa-apa. Slide banner cepet banget dan landing page tidak bisa dibuka. Lumayan b...
Full Review","January 31, 2019"
1213,Rated 5 stars out of five stars,Anissa Nurfatya,"ubi ungu organiknya manis, nasi hitam telor ayamnya enak, packagingnya bagus. Sukaaa 😍","February 7, 2019"
1214,Rated 5 stars out of five stars,parikesit kamajaya,"kwalitas sayurnya bagus2...makanan sehat salad sma buah potongnya beragam,praktis tinggal santap..pengiriman cepat..packing bagus","February 7, 2019"
1215,Rated 5 stars out of five stars,Muhamad Ikhsan,"Kualitasnya selalu bagus, selama belanja di sini selalu terpuaskan","February 7, 2019"
1216,Rated 5 stars out of five stars,Rizky Pratama,"Kualitas sayuran dan buahnya bagus, pengiriman tepat waktu, packagingnya juga cukup bagus, recommended deh pokoknya 👍","February 7, 2019"
1217,Rated 1 stars out of five stars,Agesti Melatina,aplikasi lemot sekali,"February 15, 2019"
1218,Rated 5 stars out of five stars,faridiana fauzia,memuaskan,"February 17, 2019"
1219,Rated 5 stars out of five stars,Clr Jcln,great quality,"February 1, 2019"
1220,Rated 2 stars out of five stars,A Google user,"Awalnya bgs, pesanan oke, walau kadang2 kualitas buah atau sayurnya di bwh kesegaran saat berbelanja di pasar. Yg membuat tidak nyaman, order terakhir brg ga ada minta voucher, voucher nya tidak dikirim. Karena saya lupa tidak memeriksa dan tidak foto invoice terakhir saat barang sampai, CS dengan s...
Full Review","December 27, 2018"
1221,Rated 5 stars out of five stars,Rani Nurbaiti,yuuuuu nice app!!! Jadi yang ke kantor tiap hari ini aplikasi keren soalnya ga perlu ke pasar ribet2 nawar. harganya juga murah2 disiniiiii. apalagi ada yg organik juga murah murahhhhh.,"February 7, 2019"
1222,Rated 1 stars out of five stars,ieie rahmasari,"order pertama kecewa pesen mangga harum manis dan pada mentah, order kedua coba lagi dan barang nya baik saya pikir oke sayur box improved, order ketiga pesen tempe mendoan hitam semua tidak bsa dimakan dan pesan mangga harum manis 3kg mentah benar benar mentah dan tidak bsa dimakan...benar benar ke...
Full Review","December 19, 2018"
1223,Rated 5 stars out of five stars,hafifi fauziah,karna ga pernah bisa pilih buah kalo beli langsung ke pasar dan selalu di tipu harga kalo gabisa nawar. akhirnya ketemu sama aplikasi ini yang super duper bikin bahagia karena buahnya freshhh bgttttt dan lgsg cus dikirim. pokoknga the best ga pake ribet harus becek2 ke pasar❤❤,"January 11, 2019"
1224,Rated 2 stars out of five stars,dyah wardani,"Cs nya bnar2 slow respon bahkan bs dibilang no respon. Bbrapa kali sy chat tdk dibalas baik lewat aplikasi atau lewat web. Hanya sekali dibalas ketika sy tanya mengenai jangkauan antar. Dibalas bahwa kec. Bojonggede masuk jangkauan antar. Tapi ketika input detail pengiriman di aplikasi tdk ada opsi ...
Full Review","December 5, 2018"
1225,Rated 5 stars out of five stars,Sri Wulandari Yasher,"sepertinya masih sda bugs di bagian pemberitahuan order. Hal ini karena meskipun sudah di lihat, notif bullet merahnya tidak hilang. untuk kualitas dan harga buah/sayur yang dijual OK punya.","December 19, 2018"
1226,Rated 1 stars out of five stars,seko kaltias,"order saya PG-FQVNZJ4631 barangnya ditukar tukar seenaknya, lettuce ditukar wortel+pare...tomat merah ditukar tomat ijo+buncis, siapa yg makan?","December 5, 2018"
1227,Rated 5 stars out of five stars,Amin Arifiyani,"Alhamdulillah order pertama lancar, barang yang diterima bagus2, kualitas swalayan, semoga seterusnya ya~~ Aplikasi ini sangat membantu ibu macam saya, yang tinggal di perantauan tanpa keluarga, rumahnya jauh dr warung, dan punya bayi :) masyaAllah barakallahu fiikum, insyaAllah langganan! Jazakumul...
Full Review","December 11, 2018"
1228,Rated 5 stars out of five stars,A Google user,thank yaaa fast respon nya. meskipun kmrn smpet avocado flores nya abis tp langsung diganti voucher 😉👍,"December 22, 2018"
1229,Rated 3 stars out of five stars,samuel aldi,"Delivery time terbatas, ga bs same day, pengantaran hanya bisa mulai dr siang, perbaiki sistem logistik dulu","December 5, 2018"
1230,Rated 1 stars out of five stars,maya sandhy,"Kecewa berat dengan sayurbox, pengirimanya tidak bagus. Saya minta jam 5-7 pm ETA, sampe tengah malam ga muncul dan GA ADA KABAR (ga dikasi no kurir uga, tus gw nunggu kek satpam komplek samoe tengah malem.. whatt??!). Mau nanya,suru pake support@sayurbox itukan email ya, mana lamaaa pula responseny...
Full Review","December 13, 2018"
