,Bintang,Pengguna,Komen,Tanggal
105,Rated 5 stars out of five stars,Marcelia Femi,love this application. make me easier to buy fruits and veggie without going to supermarket. the price are good too. thanks.,"July 20, 2019"
106,Rated 1 stars out of five stars,Simon S,cannot input address for checking out. very frustating. i followed the example of address writing instructed but still nothing changed,"September 9, 2019"
107,Rated 5 stars out of five stars,Adiyani Rahmanulia,Love the service and also the product from sayurbox... Note that the CS from app have fast response....... will repeat the order from this Sayurbox...,"October 20, 2019"
108,Rated 1 stars out of five stars,Rolis,Mulia sekali misinya memberdayakan petani... Too good to be true,"November 13, 2019"
109,Rated 2 stars out of five stars,Chyntia Leola,Can't search or choose the food,"January 16, 2020"
110,Rated 5 stars out of five stars,Christina P,very useful apps. Sayurbox makes shopping fruit and vegetables easier.,"March 26, 2019"
111,Rated 1 stars out of five stars,annanovalia dewii,"I've ordered and finished the payment on sunday, The order should be delivered on tuesday at 06-09 AM.. Well, Its already at 1 PM and my order hast delivered until now. Bad system, bad services and no option to do. Refund. No tracking order either. What an experiences to order in here.","February 4, 2020"
112,Rated 5 stars out of five stars,Dwi Ajeng Zahrotun Noor,top quality. always get fresh tempe. it still warm when they sent. keep up good work:),"July 24, 2019"
113,Rated 5 stars out of five stars,Lenny Tan,easy to use. pengantaran barang jg tepat waktu. good app :),"September 14, 2019"
114,Rated 5 stars out of five stars,santy,"super easy to apply, nice packaging, good choice of vegetable, good price","May 1, 2019"
115,Rated 5 stars out of five stars,ike herningtyas,"first order and satisfied. delivery on schedule, and the products are fresh.","July 12, 2019"
116,Rated 5 stars out of five stars,Maria M. Dolorosa Farah Diena,"I like the concept behind it very much. There's not that many options here to be able and apply farm-to-table. I had an issue regarding delivery the first time, but I decided to give it a second chance and they made it up! the produce is complete fresh, the price is highly competitive and I love tha...
Full Review","July 27, 2019"
117,Rated 5 stars out of five stars,Karinina Putri,"Good local quality fresh produce. Easy payment and attentive customer service. Fruits could use more variety. Could also start thinking about reducing/substituting plastic altogether for some customers (like me!). Substitute paper bags for nylon nets, leftover cardboard for styrofoam, cotton strings...
Full Review","September 30, 2019"
118,Rated 3 stars out of five stars,Tanthrie Julia,"the service is ok but poor application, loading and does work, i lazy to use this app because of very difficult to load fruit or vegetable.. please fix the apps","April 8, 2019"
119,Rated 1 stars out of five stars,alvin reinanda,Useless. Loading never ending. Love the products and promos but the app is wrost..,"May 30, 2019"
120,Rated 5 stars out of five stars,Ricks Flanel,Rocking app for grocery shopping,"November 16, 2019"
121,Rated 5 stars out of five stars,Widya Adi Tjahjono,Fast and helping us to get vegetables,"November 30, 2019"
122,Rated 3 stars out of five stars,A Google user,The old version was working fine. New version is lagging,"November 13, 2018"
123,Rated 5 stars out of five stars,Vidyani Ratna,Amazing fresh fruits and not pricey. Great job! 😊😊👍,"March 6, 2020"
124,Rated 5 stars out of five stars,Susanti Lien,the products are fresh and with reasonable price..,"March 27, 2019"
125,Rated 5 stars out of five stars,Raven Winguard,"Very affordable veggies and fruit! Though quality is not the best, but they are fresh and buying feom them helps local farmers tons!!","September 2, 2019"
126,Rated 5 stars out of five stars,Ritu ranjan,Fresh veggies with Nice packing....love to order again and again,"October 7, 2019"
127,Rated 5 stars out of five stars,Ima Ananda,Freshness at our door everyday. Wow! Thank you sayurbox.,"December 4, 2019"
128,Rated 5 stars out of five stars,Dwi Budiarti,It helps me a lot for my fresh groceries...Good quality product help the community and not to forget excellent service...,"September 13, 2019"
129,Rated 5 stars out of five stars,amy putri,"On time delivery, fresh products on fruits and veggies, great prices, good packaging. Definitely reorder!!","August 17, 2019"
130,Rated 1 stars out of five stars,Aimee Huang,"Hi the quality of the vegetables drop significantly, the mushrooms are rotting and the kangkung i bought today are all yellowish, used to be not like this but slowly detoriating. What happened?","December 27, 2019"
131,Rated 5 stars out of five stars,Indra Nugraha,"Good services, reliable and ontime.","October 3, 2019"
132,Rated 5 stars out of five stars,Dyan Oktavia Rindhu Shinta R.,"user friendly, simple, usefull, fresh item","March 29, 2019"
